,wage,education,experience,age,ethnicity,region,gender,occupation,sector,union,married
134,5.65,14,2,22,cauc,other,male,worker,manufacturing,no,no
135,4.8,9,16,31,other,other,male,worker,manufacturing,no,no
136,7,10,9,25,cauc,south,male,worker,construction,no,yes
137,5.25,12,2,20,cauc,other,male,worker,other,no,no
138,3.35,7,43,56,cauc,south,male,worker,manufacturing,no,yes
139,8.5,9,38,53,cauc,other,male,worker,manufacturing,no,yes
140,6,12,9,27,cauc,other,male,worker,other,no,yes
141,6.75,12,12,30,cauc,south,male,worker,other,no,yes
142,8.89,12,18,36,cauc,other,male,worker,manufacturing,no,yes
143,14.21,11,15,32,cauc,other,male,worker,manufacturing,yes,no
144,10.78,11,28,45,other,south,male,worker,construction,yes,yes
145,8.9,10,27,43,cauc,south,male,worker,construction,yes,yes
146,7.5,12,38,56,cauc,south,male,worker,other,no,yes
147,4.5,12,3,21,cauc,other,female,worker,manufacturing,no,no
148,11.25,12,41,59,cauc,other,male,worker,other,yes,yes
149,13.45,12,16,34,cauc,south,male,worker,other,yes,yes
150,6,13,7,26,cauc,south,male,worker,manufacturing,no,yes
151,4.62,6,33,45,other,south,female,worker,manufacturing,no,no
152,10.58,14,25,45,cauc,other,male,worker,manufacturing,no,yes
153,5,12,5,23,cauc,south,male,worker,other,no,yes
154,8.2,14,17,37,other,south,male,worker,other,no,no
155,6.25,12,1,19,cauc,south,male,worker,other,no,no
156,8.5,12,13,31,cauc,other,male,worker,manufacturing,no,yes
157,24.98,16,18,40,cauc,other,male,management,other,no,yes
158,16.65,14,21,41,cauc,south,male,management,other,no,yes
159,6.25,14,2,22,cauc,other,male,management,other,no,no
160,4.55,12,4,22,hispanic,south,female,management,other,no,no
161,11.25,12,30,48,hispanic,south,female,management,other,no,yes
162,21.25,13,32,51,cauc,other,male,management,other,no,no
163,12.65,17,13,36,cauc,other,female,management,other,no,yes
164,7.5,12,17,35,cauc,other,male,management,other,no,no
165,10.25,14,26,46,cauc,other,female,management,other,no,yes
166,3.35,16,9,31,cauc,other,male,management,other,no,no
167,13.45,16,8,30,other,other,male,management,other,no,no
168,4.84,15,1,22,cauc,other,male,management,other,yes,yes
169,26.29,17,32,55,cauc,south,male,management,other,no,yes
170,6.58,12,24,42,cauc,other,female,management,other,no,yes
171,44.5,14,1,21,cauc,other,female,management,other,no,no
172,15,12,42,60,cauc,other,male,management,manufacturing,no,yes
173,11.25,16,3,25,other,other,female,management,manufacturing,no,no
174,7,12,32,50,cauc,other,female,management,other,no,yes
175,10,14,22,42,other,other,male,management,other,no,no
176,14.53,16,18,40,cauc,other,male,management,other,no,yes
177,20,18,19,43,cauc,other,female,management,other,no,yes
178,22.5,15,12,33,cauc,other,male,management,other,no,yes
179,3.64,12,42,60,cauc,other,female,management,other,no,yes
180,10.62,12,34,52,cauc,south,male,management,other,no,yes
181,24.98,18,29,53,cauc,other,male,management,other,no,yes
182,6,16,8,30,cauc,south,male,management,other,no,no
183,19,18,13,37,cauc,other,male,management,manufacturing,no,no
184,13.2,16,10,32,cauc,other,male,management,other,no,no
185,22.5,16,22,44,cauc,other,male,management,other,no,yes
186,15,16,10,32,cauc,south,male,management,other,no,yes
187,6.88,17,15,38,cauc,other,female,management,other,no,yes
188,11.84,12,26,44,cauc,other,male,management,other,no,yes
189,16.14,14,16,36,cauc,other,male,management,other,no,no
190,13.95,18,14,38,cauc,other,female,management,other,no,yes
191,13.16,12,38,56,cauc,other,female,management,other,no,yes
192,5.3,12,14,32,other,south,male,management,other,no,yes
193,4.5,12,7,25,cauc,other,female,management,other,no,yes
194,10,18,13,37,cauc,south,female,management,other,no,no
195,10,10,20,36,cauc,other,male,management,other,no,yes
196,10,16,7,29,hispanic,other,male,management,other,yes,yes
197,9.37,16,26,48,cauc,other,female,management,other,no,yes
198,5.8,16,14,36,cauc,other,male,management,other,no,yes
199,17.86,13,36,55,cauc,other,male,management,other,no,no
200,1,12,24,42,cauc,other,male,management,other,no,yes
201,8.8,14,41,61,cauc,south,male,management,other,no,yes
202,9,16,7,29,other,other,male,management,other,no,yes
203,18.16,17,14,37,cauc,south,male,management,other,no,no
204,7.81,12,1,19,cauc,south,female,management,other,no,no
205,10.62,16,6,28,cauc,other,female,management,manufacturing,no,yes
206,4.5,12,3,21,cauc,other,female,management,other,no,yes
207,17.25,15,31,52,cauc,other,male,management,other,no,yes
208,10.5,13,14,33,cauc,other,female,management,manufacturing,no,yes
209,9.22,14,13,33,cauc,other,female,management,other,no,yes
210,15,16,26,48,other,other,male,management,manufacturing,yes,yes
211,22.5,18,14,38,cauc,other,male,management,other,no,yes
212,4.55,13,33,52,cauc,other,female,sales,other,no,yes
213,9,12,16,34,cauc,other,male,sales,other,no,yes
214,13.33,18,10,34,cauc,other,male,sales,other,no,yes
215,15,14,22,42,cauc,other,male,sales,other,no,no
216,7.5,14,2,22,cauc,other,male,sales,other,no,no
217,4.25,12,29,47,cauc,south,female,sales,other,no,yes
218,12.5,12,43,61,cauc,other,male,sales,manufacturing,no,yes
219,5.13,12,5,23,cauc,other,female,sales,other,no,yes
220,3.35,16,14,36,other,south,female,sales,other,no,yes
221,11.11,12,28,46,cauc,south,male,sales,other,no,yes
222,3.84,11,25,42,other,south,female,sales,other,no,yes
223,6.4,12,45,63,cauc,other,female,sales,other,no,yes
224,5.56,14,5,25,cauc,south,male,sales,other,no,no
225,10,12,20,38,cauc,south,male,sales,manufacturing,no,yes
226,5.65,16,6,28,cauc,other,female,sales,other,no,yes
227,11.5,16,16,38,cauc,other,male,sales,other,no,yes
228,3.5,11,33,50,cauc,other,female,sales,other,no,yes
229,3.35,13,2,21,cauc,south,female,sales,other,no,yes
230,4.75,12,10,28,cauc,south,female,sales,other,no,no
231,19.98,14,44,64,cauc,south,male,sales,other,no,yes
232,3.5,14,6,26,cauc,south,female,sales,other,no,yes
233,4,12,15,33,cauc,other,female,sales,other,no,no
234,7,12,5,23,cauc,other,male,sales,other,no,yes
235,6.25,13,4,23,cauc,other,female,sales,manufacturing,no,yes
236,4.5,14,14,34,cauc,other,male,sales,other,no,yes
237,14.29,14,32,52,cauc,other,female,sales,other,no,yes
238,5,12,14,32,cauc,other,female,sales,other,no,yes
239,13.75,14,21,41,cauc,other,male,sales,other,no,yes
240,13.71,12,43,61,cauc,other,male,sales,other,yes,yes
241,7.5,12,27,45,other,south,female,sales,other,no,yes
242,3.8,12,4,22,cauc,other,female,sales,other,no,no
243,5,14,0,20,hispanic,other,male,sales,other,no,no
244,9.42,12,32,50,cauc,south,male,sales,other,no,yes
245,5.5,12,20,38,cauc,other,male,sales,other,no,yes
246,3.75,15,4,25,cauc,south,male,sales,other,no,no
247,3.5,12,34,52,cauc,other,male,sales,other,no,yes
248,5.8,13,5,24,cauc,other,male,sales,other,no,no
249,12,17,13,36,cauc,other,male,sales,manufacturing,no,yes
250,5,14,17,37,hispanic,other,female,office,other,no,yes
251,8.75,13,10,29,cauc,south,female,office,other,no,yes
252,10,16,7,29,cauc,other,female,office,other,no,yes
253,8.5,12,25,43,cauc,other,female,office,other,no,no
254,8.63,12,18,36,other,other,female,office,other,no,yes
255,9,16,27,49,cauc,other,female,office,manufacturing,no,yes
256,5.5,16,2,24,cauc,other,female,office,other,no,no
257,11.11,13,13,32,cauc,other,male,office,other,no,yes
258,10,14,24,44,cauc,other,female,office,other,no,no
259,5.2,18,13,37,hispanic,south,female,office,other,no,yes
260,8,14,15,35,cauc,other,female,office,other,yes,no
261,3.56,12,12,30,hispanic,south,female,office,other,no,no
262,5.2,12,24,42,cauc,other,female,office,other,no,yes
263,11.67,12,43,61,cauc,other,female,office,construction,no,yes
264,11.32,12,13,31,cauc,other,female,office,manufacturing,no,yes
265,7.5,12,16,34,cauc,south,female,office,other,no,yes
266,5.5,11,24,41,cauc,other,female,office,other,no,yes
267,5,16,4,26,cauc,south,female,office,other,no,yes
268,7.75,12,24,42,cauc,other,female,office,other,no,yes
269,5.25,12,45,63,cauc,other,female,office,other,no,yes
270,9,12,20,38,cauc,other,male,office,other,yes,yes
271,9.65,12,38,56,cauc,other,female,office,other,no,yes
272,5.21,18,10,34,cauc,south,male,office,other,no,yes
273,7,11,16,33,other,other,female,office,other,no,yes
274,12.16,12,32,50,other,south,female,office,other,no,yes
275,5.25,16,2,24,cauc,south,female,office,other,no,no
276,10.32,13,28,47,cauc,south,female,office,other,no,no
277,3.35,16,3,25,other,other,male,office,other,no,no
278,7.7,13,8,27,cauc,other,female,office,other,yes,no
279,9.17,12,44,62,cauc,other,female,office,manufacturing,no,yes
280,8.43,12,12,30,cauc,south,male,office,other,no,yes
281,4,12,8,26,other,south,male,office,other,no,yes
282,4.13,12,4,22,cauc,other,female,office,other,no,yes
283,3,12,28,46,cauc,south,female,office,other,no,yes
284,4.25,13,0,19,cauc,south,female,office,other,no,no
285,7.53,14,1,21,cauc,south,male,office,other,no,no
286,10.53,14,12,32,cauc,other,female,office,manufacturing,no,yes
287,5,12,39,57,cauc,other,female,office,other,no,yes
288,15.03,12,24,42,cauc,other,female,office,other,no,yes
289,11.25,17,32,55,other,other,female,office,other,no,yes
290,6.25,16,4,26,other,other,male,office,other,no,no
291,3.5,12,25,43,other,other,female,office,other,no,no
292,6.85,12,8,26,other,other,male,office,other,no,no
293,12.5,13,16,35,cauc,other,female,office,other,no,yes
294,12,12,5,23,cauc,south,male,office,other,no,no
295,6,13,31,50,cauc,other,male,office,other,no,no
296,9.5,12,25,43,cauc,other,female,office,other,no,no
297,4.1,12,15,33,cauc,other,female,office,other,no,yes
298,10.43,14,15,35,cauc,south,female,office,other,no,yes
299,5,12,0,18,cauc,other,female,office,other,no,no
300,7.69,12,19,37,cauc,other,male,office,other,no,yes
301,5.5,12,21,39,other,other,female,office,other,no,no
302,6.4,12,6,24,cauc,other,female,office,other,no,no
303,12.5,12,14,32,cauc,other,female,office,other,yes,yes
304,6.25,13,30,49,cauc,other,female,office,other,no,yes
305,8,12,8,26,cauc,other,female,office,other,no,no
306,9.6,9,33,48,cauc,other,male,office,other,yes,no
307,9.1,13,16,35,hispanic,other,male,office,other,no,no
308,7.5,12,20,38,cauc,south,female,office,other,no,no
309,5,13,6,25,cauc,south,female,office,other,no,yes
310,7,12,10,28,cauc,other,female,office,other,yes,yes
311,3.55,13,1,20,cauc,south,female,office,other,no,no
312,8.5,12,2,20,other,south,male,office,other,no,no
313,4.5,13,0,19,cauc,south,female,office,other,no,no
314,7.88,16,17,39,other,other,male,office,other,no,yes
315,5.25,12,8,26,cauc,other,female,office,other,no,no
316,5,12,4,22,cauc,south,male,office,other,no,no
317,9.33,12,15,33,cauc,other,female,office,other,no,no
318,10.5,12,29,47,cauc,other,female,office,other,no,yes
319,7.5,12,23,41,other,south,female,office,other,no,yes
320,9.5,12,39,57,cauc,south,female,office,other,no,yes
321,9.6,12,14,32,cauc,south,female,office,other,no,yes
322,5.87,17,6,29,other,south,female,office,other,no,no
323,11.02,14,12,32,cauc,south,male,office,other,yes,yes
324,5,12,26,44,cauc,south,female,office,other,no,no
325,5.62,14,32,52,cauc,other,female,office,other,no,yes
326,12.5,15,6,27,cauc,other,female,office,other,no,yes
327,10.81,12,40,58,cauc,other,female,office,other,no,yes
328,5.4,12,18,36,cauc,other,female,office,manufacturing,no,yes
329,7,11,12,29,cauc,other,female,office,other,no,no
330,4.59,12,36,54,cauc,south,female,office,construction,no,yes
331,6,12,19,37,cauc,other,female,office,other,no,yes
332,11.71,16,42,64,cauc,other,female,office,manufacturing,no,no
333,5.62,13,2,21,hispanic,other,female,office,other,no,yes
334,5.5,12,33,51,cauc,other,female,office,other,no,yes
335,4.85,12,14,32,cauc,south,female,office,other,no,yes
336,6.75,12,22,40,cauc,other,male,office,other,no,no
337,4.25,12,20,38,cauc,other,female,office,other,no,yes
338,5.75,12,15,33,cauc,other,female,office,other,no,yes
339,3.5,12,35,53,cauc,other,male,office,other,no,yes
340,3.35,12,7,25,cauc,other,female,office,other,no,yes
341,10.62,12,45,63,cauc,other,female,office,manufacturing,no,no
342,8,12,9,27,cauc,other,female,office,other,no,no
343,4.75,12,2,20,cauc,south,female,office,other,no,yes
344,8.5,17,3,26,cauc,south,male,office,other,no,no
345,8.85,14,19,39,other,other,female,office,other,yes,yes
346,8,12,14,32,cauc,south,female,office,other,no,yes
347,6,4,54,64,cauc,other,male,services,other,no,yes
348,7.14,14,17,37,cauc,other,male,services,other,no,yes
349,3.4,8,29,43,other,other,female,services,other,no,yes
350,6,15,26,47,cauc,south,female,services,other,no,no
351,3.75,2,16,24,hispanic,other,male,services,other,no,no
352,8.89,8,29,43,other,other,female,services,other,no,no
353,4.35,11,20,37,cauc,other,female,services,other,no,yes
354,13.1,10,38,54,other,south,female,services,other,no,yes
355,4.35,8,37,51,other,south,female,services,other,no,yes
356,3.5,9,48,63,cauc,other,male,services,other,no,no
357,3.8,12,16,34,cauc,other,female,services,other,no,no
358,5.26,8,38,52,cauc,other,female,services,other,no,yes
359,3.35,14,0,20,other,other,male,services,other,no,no
360,16.26,12,14,32,other,other,male,services,other,yes,no
361,4.25,12,2,20,cauc,other,female,services,other,no,yes
362,4.5,16,21,43,cauc,other,male,services,other,no,yes
363,8,13,15,34,cauc,other,female,services,other,no,yes
364,4,16,20,42,cauc,other,female,services,other,no,no
365,7.96,14,12,32,cauc,other,female,services,other,no,yes
366,4,12,7,25,hispanic,south,male,services,other,no,no
367,4.15,11,4,21,cauc,other,male,services,other,no,yes
368,5.95,13,9,28,cauc,south,male,services,other,no,yes
369,3.6,12,43,61,hispanic,south,female,services,other,no,yes
370,8.75,10,19,35,cauc,south,male,services,other,no,no
371,3.4,8,49,63,cauc,other,female,services,other,no,no
372,4.28,12,38,56,cauc,other,female,services,other,no,yes
373,5.35,12,13,31,cauc,other,female,services,other,no,yes
374,5,12,14,32,cauc,other,female,services,other,no,yes
375,7.65,12,20,38,cauc,other,male,services,other,no,no
376,6.94,12,7,25,cauc,other,female,services,other,no,no
377,7.5,12,9,27,cauc,other,female,services,manufacturing,yes,yes
378,3.6,12,6,24,cauc,other,female,services,other,no,no
379,1.75,12,5,23,cauc,south,female,services,other,no,yes
380,3.45,13,1,20,other,south,female,services,other,no,no
381,9.63,14,22,42,cauc,other,male,services,other,yes,yes
382,8.49,12,24,42,cauc,other,female,services,other,no,yes
383,8.99,12,15,33,cauc,other,female,services,other,yes,no
384,3.65,11,8,25,cauc,south,female,services,other,no,yes
385,3.5,11,17,34,cauc,south,female,services,other,no,yes
386,3.43,12,2,20,other,south,male,services,other,no,no
387,5.5,12,20,38,cauc,south,male,services,other,no,yes
388,6.93,12,26,44,cauc,other,male,services,other,yes,yes
389,3.51,10,37,53,other,south,female,services,other,no,yes
390,3.75,12,41,59,cauc,other,female,services,other,no,no
391,4.17,12,27,45,cauc,other,female,services,other,no,yes
392,9.57,12,5,23,cauc,other,female,services,other,yes,yes
393,14.67,14,16,36,other,other,male,services,other,no,yes
394,12.5,14,19,39,cauc,other,female,services,other,no,yes
395,5.5,12,10,28,cauc,other,male,services,other,no,yes
396,5.15,13,1,20,cauc,south,male,services,other,yes,no
397,8,12,43,61,other,other,female,services,other,yes,yes
398,5.83,13,3,22,other,other,male,services,other,no,no
399,3.35,12,0,18,cauc,other,female,services,other,no,no
400,7,12,26,44,cauc,south,female,services,other,no,yes
401,10,10,25,41,cauc,other,female,services,other,yes,yes
402,8,12,15,33,cauc,other,female,services,other,no,yes
403,6.88,14,10,30,cauc,south,female,services,other,no,no
404,5.55,11,45,62,cauc,other,female,services,other,yes,no
405,7.5,11,3,20,other,other,male,services,other,no,no
406,8.93,8,47,61,hispanic,other,male,services,other,yes,yes
407,9,16,6,28,other,other,female,services,other,no,yes
408,3.5,10,33,49,cauc,south,female,services,other,no,no
409,5.77,16,3,25,cauc,other,male,services,manufacturing,no,no
410,25,14,4,24,hispanic,other,male,services,other,yes,no
411,6.85,14,34,54,other,other,male,services,other,yes,yes
412,6.5,11,39,56,cauc,south,male,services,other,no,yes
413,3.75,12,17,35,cauc,south,female,services,other,no,yes
414,3.5,9,47,62,cauc,other,male,services,other,yes,yes
415,4.5,11,2,19,cauc,other,male,services,other,no,no
416,2.01,13,0,19,cauc,south,male,services,other,no,no
417,4.17,14,24,44,cauc,other,female,services,other,no,no
418,13,12,25,43,other,other,male,services,other,yes,yes
419,3.98,14,6,26,cauc,other,female,services,other,no,no
420,7.5,12,10,28,cauc,other,female,services,other,no,no
421,13.12,12,33,51,other,other,female,services,other,no,yes
422,4,12,12,30,cauc,other,male,services,other,no,no
423,3.95,12,9,27,cauc,south,female,services,other,no,yes
424,13,11,18,35,cauc,south,male,services,other,yes,yes
425,9,12,10,28,cauc,other,male,services,other,no,yes
426,4.55,8,45,59,cauc,south,female,services,other,no,no
427,9.5,9,46,61,cauc,other,female,services,other,yes,yes
428,4.5,7,14,27,hispanic,south,male,services,other,no,yes
429,8.75,11,36,53,cauc,other,female,services,other,no,no
430,10,13,34,53,cauc,other,male,technical,construction,yes,yes
431,18,18,15,39,cauc,other,male,technical,other,no,yes
432,24.98,17,31,54,cauc,other,male,technical,manufacturing,no,yes
433,12.05,16,6,28,cauc,other,female,technical,manufacturing,no,no
434,22,14,15,35,cauc,south,male,technical,other,no,yes
435,8.75,12,30,48,cauc,other,male,technical,other,no,yes
436,22.2,18,8,32,cauc,other,male,technical,other,no,yes
437,17.25,18,5,29,cauc,other,male,technical,manufacturing,no,yes
438,6,17,3,26,cauc,other,female,technical,other,yes,no
439,8.06,13,17,36,cauc,south,male,technical,other,no,yes
440,9.24,16,5,27,other,other,male,technical,manufacturing,yes,yes
441,12,14,10,30,cauc,other,female,technical,other,no,yes
442,10.61,15,33,54,cauc,other,female,technical,other,no,no
443,5.71,18,3,27,cauc,other,male,technical,other,no,yes
444,10,16,0,18,cauc,other,female,technical,other,no,no
445,17.5,16,13,35,other,south,male,technical,other,no,yes
446,15,18,12,36,cauc,other,male,technical,other,no,yes
447,7.78,16,6,28,cauc,other,female,technical,other,no,yes
448,7.8,17,7,30,cauc,other,male,technical,other,no,yes
449,10,16,14,36,cauc,south,male,technical,other,yes,yes
450,24.98,17,5,28,cauc,other,female,technical,other,no,no
451,10.28,15,10,31,cauc,south,female,technical,other,no,yes
452,15,18,11,35,cauc,other,female,technical,other,no,yes
453,12,17,24,47,cauc,other,female,technical,other,no,yes
454,10.58,16,9,31,cauc,other,male,technical,manufacturing,no,no
455,5.85,18,12,36,cauc,south,male,technical,other,no,yes
456,11.22,18,19,43,cauc,other,male,technical,other,no,yes
457,8.56,14,14,34,cauc,other,female,technical,other,no,yes
458,13.89,16,17,39,cauc,other,female,technical,manufacturing,no,no
459,5.71,18,7,31,cauc,south,male,technical,other,no,no
460,15.79,18,7,31,cauc,other,male,technical,other,no,yes
461,7.5,16,22,44,cauc,other,female,technical,other,no,yes
462,11.25,12,28,46,cauc,other,female,technical,other,no,yes
463,6.15,16,16,38,cauc,other,female,technical,other,no,no
464,13.45,16,16,38,other,south,male,technical,other,no,no
465,6.25,16,7,29,cauc,other,female,technical,other,no,yes
466,6.5,12,11,29,cauc,other,female,technical,other,no,no
467,12,12,11,29,cauc,other,female,technical,other,no,yes
468,8.5,12,16,34,cauc,other,female,technical,other,no,no
469,8,18,33,57,cauc,other,male,technical,other,yes,no
470,5.75,12,21,39,cauc,south,female,technical,other,no,yes
471,15.73,16,4,26,cauc,other,male,technical,manufacturing,no,yes
472,9.86,15,13,34,cauc,other,male,technical,other,no,yes
473,13.51,18,14,38,cauc,other,male,technical,other,yes,yes
